Province/State;Country/Region;Lat;Long;Date;Value;ISO 3166-1 Alpha 3-Codes;Region Code;Sub-region Code;Intermediate Region Code;
;Afghanistan;33.0;65.0;26/02/2020;1;AFG;142;34;;
;Afghanistan;33.0;65.0;25/02/2020;1;AFG;142;34;;
;Afghanistan;33.0;65.0;24/02/2020;1;AFG;142;34;;
;Afghanistan;33.0;65.0;23/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;22/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;21/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;20/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;19/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;18/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;17/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;16/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;15/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;14/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;13/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;12/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;11/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;10/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;09/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;08/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;07/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;06/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;05/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;04/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;03/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;02/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;01/02/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;31/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;30/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;29/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;28/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;27/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;26/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;25/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;24/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;23/01/2020;0;AFG;142;34;;
;Afghanistan;33.0;65.0;22/01/2020;0;AFG;142;34;;
;Albania;411.533;201.683;13/05/2020;880;ALB;150;39;;
;Albania;411.533;201.683;12/05/2020;876;ALB;150;39;;
;Albania;411.533;201.683;11/05/2020;872;ALB;150;39;;
;Albania;411.533;201.683;10/05/2020;868;ALB;150;39;;
;Albania;411.533;201.683;09/05/2020;856;ALB;150;39;;
;Albania;411.533;201.683;08/05/2020;850;ALB;150;39;;
;Albania;411.533;201.683;07/05/2020;842;ALB;150;39;;
;Albania;411.533;201.683;06/05/2020;832;ALB;150;39;;
;Albania;411.533;201.683;05/05/2020;820;ALB;150;39;;
;Albania;411.533;201.683;04/05/2020;803;ALB;150;39;;
;Albania;411.533;201.683;03/05/2020;795;ALB;150;39;;
;Albania;411.533;201.683;02/05/2020;789;ALB;150;39;;
;Albania;411.533;201.683;01/05/2020;782;ALB;150;39;;
;Albania;411.533;201.683;30/04/2020;773;ALB;150;39;;
;Albania;411.533;201.683;29/04/2020;766;ALB;150;39;;
;Albania;411.533;201.683;28/04/2020;750;ALB;150;39;;
;Albania;411.533;201.683;27/04/2020;736;ALB;150;39;;
;Albania;411.533;201.683;26/04/2020;726;ALB;150;39;;
;Albania;411.533;201.683;25/04/2020;712;ALB;150;39;;
;Albania;411.533;201.683;24/04/2020;678;ALB;150;39;;
;Albania;411.533;201.683;23/04/2020;663;ALB;150;39;;
;Albania;411.533;201.683;22/04/2020;634;ALB;150;39;;
;Albania;411.533;201.683;21/04/2020;609;ALB;150;39;;
